StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2017-10331,Kirsti Paffitt,1992-11-16,BS Industrial Engineering,Investment Bankers/Brokers/Service,127
2017-10332,Gilbertine Menham,1997-03-20,BS Chemistry,"Computer Software: Programming, Data Processing",71
2017-10333,Lurline Bere,1993-09-27,BS Statistics,Real Estate Investment Trusts,47
2017-10334,Jeanie Skehens,1996-04-10,BS Chemistry,Professional Services,12
2017-10335,Celene Hanwell,1992-01-18,BS Mathematics,Other Specialty Stores,69
2017-10336,Marilee Gatch,2002-11-16,BA Communication Arts,Major Banks,113
2017-10337,Gardy Jermey,2007-05-16,BS Chemical Engineering,Diversified Commercial Services,112
2017-10338,Juliane Plows,2007-08-14,BS Computer Engineering,Broadcasting,93
2017-10339,Dino Genner,2010-05-15,BS Applied Physics,n/a,30
2017-10340,Lowrance Balcers,1994-02-10,BS Chemistry,Finance: Consumer Services,10
2017-10341,Allianora MacCall,1997-02-21,BA Communication Arts,Savings Institutions,123
2017-10342,Eustacia Castellini,1993-07-19,BS Applied Physics,Other Specialty Stores,7
2017-10343,Twyla Fyall,1994-02-25,BS Statistics,Business Services,90
2017-10344,Tabitha MacHostie,2005-01-29,BS Mathematics,Hotels/Resorts,139
2017-10345,Hewett Jados,1999-10-31,BA Sociology,Hotels/Resorts,107
2017-10346,Matty Redington,1995-09-05,BS Statistics,n/a,62
2017-10347,Gabey Fitzharris,1995-10-27,BA Sociology,n/a,103
2017-10348,Rhett Bernardot,1995-12-22,BS Mathematics,Savings Institutions,130
2017-10349,Lilly MacLucais,1996-09-24,BA Communication Arts,Transportation Services,95
2017-10350,Terrence Hitcham,1996-04-06,BA Communication Arts,Air Freight/Delivery Services,67
2017-10351,Chariot Esposito,2008-02-08,BS Mathematics,Real Estate Investment Trusts,90
2017-10352,Shalna Layton,1996-12-22,BS Computer Science,Real Estate,7
2017-10353,Cati Goold,1997-06-25,BA Communication Arts,n/a,121
2017-10354,Malena Headland,2001-05-12,BA Communication Arts,Meat/Poultry/Fish,45
2017-10355,Andrea Stoller,2001-09-27,BS Chemistry,n/a,19
2017-10356,Marita Ralph,2001-10-08,BS Applied Physics,n/a,29
2017-10357,Rem Mochar,1997-10-09,BS Mathematics,Major Pharmaceuticals,154
2017-10358,Jacquetta Djokic,1993-02-25,BS Statistics,Major Banks,142
2017-10359,Sara Boyat,1996-03-20,BS Chemistry,Marine Transportation,51
2017-10360,Rodge Titcombe,2006-06-14,BS Statistics,EDP Services,87
2017-10361,Merv Sillett,2007-11-22,BS Applied Physics,Electric Utilities: Central,154
2017-10362,Daveen Artz,2002-01-08,BS Chemistry,Restaurants,31
2017-10363,Diarmid Byway,2007-01-11,BS Chemical Engineering,Savings Institutions,80
2017-10364,Lynna Simione,1993-04-20,BS Statistics,n/a,35
2017-10365,Jacklyn Lucy,2006-04-13,BS Applied Physics,n/a,99
2017-10366,Gran Rutigliano,2009-05-10,BS Chemical Engineering,n/a,116
2017-10367,Ileana Nizet,2006-05-05,BS Mathematics,Catalog/Specialty Distribution,46
2017-10368,Hewe Beswetherick,2004-12-21,BS Chemical Engineering,Marine Transportation,1
2017-10369,Lloyd Thews,1995-12-02,BA Sociology,RETAIL: Building Materials,48
2017-10370,Constantine Twort,2009-08-24,BS Mathematics,Hotels/Resorts,102
2017-10371,Paten Elias,2010-05-03,BS Mathematics,Oil & Gas Production,56
2017-10372,Dino Gerardeaux,2003-03-02,BS Computer Engineering,Electric Utilities: Central,27
2017-10373,Karlene Casina,1992-06-18,BS Chemistry,Finance: Consumer Services,86
2017-10374,Fern Catterall,1996-01-18,BS Chemical Engineering,n/a,43
2017-10375,Hettie Coghlan,1993-11-22,BA Communication Arts,n/a,116
2017-10376,Linn MacRedmond,2006-01-25,BS Statistics,n/a,5
2017-10377,Jessey Laterza,1995-06-16,BS Mathematics,Savings Institutions,88
2017-10378,Taryn Ship,1994-08-14,BS Chemical Engineering,Hotels/Resorts,50
2017-10379,Quentin Filippo,1992-09-09,BS Computer Engineering,Beverages (Production/Distribution),147
2017-10380,Amandy Cudd,1998-12-08,BS Mathematics,Semiconductors,97
2017-10381,Cissy Lowery,1998-09-16,BA Communication Arts,Electronic Components,104
2017-10382,Claude Mosedall,2008-06-29,BS Mathematics,Oil & Gas Production,73
2017-10383,Daryl Warrington,1999-06-24,BS Industrial Engineering,Investment Managers,17
2017-10384,Edy Walesa,1992-12-30,BA Communication Arts,Investment Bankers/Brokers/Service,10
2017-10385,Web Chicco,1999-10-10,BS Computer Science,Auto Parts:O.E.M.,115
2017-10386,Gerard Griswaite,2008-05-22,BS Statistics,Natural Gas Distribution,13
2017-10387,Rodney Dellenbrook,1993-08-20,BS Chemistry,n/a,24
2017-10388,Bette-ann Panons,1998-02-15,BS Mathematics,Metal Fabrications,34
2017-10389,Creighton Timperley,1995-02-03,BA Communication Arts,n/a,155
2017-10390,Seumas Craddock,2000-10-10,BS Applied Physics,EDP Services,139
2017-10391,Simona Rudgard,2002-05-17,BA Communication Arts,Paper,132
2017-10392,Corrine Cregeen,1998-06-09,BS Chemistry,Finance: Consumer Services,90
2017-10393,Lucius Cumo,1996-09-02,BS Computer Engineering,Oil & Gas Production,73
2017-10394,Westleigh Hoppner,2001-12-27,BS Mathematics,Real Estate Investment Trusts,28
2017-10395,Abrahan Donohue,2007-09-25,BS Industrial Engineering,Recreational Products/Toys,109
2017-10396,Padraic Broz,2004-02-02,BA Sociology,n/a,87
2017-10397,Marietta Giovanardi,2002-03-16,BS Mathematics,Movies/Entertainment,74
2017-10398,Myrle Yuranovev,2010-05-09,BS Mathematics,Marine Transportation,78
2017-10399,Casper Egdell,2000-05-27,BS Mathematics,Auto Parts:O.E.M.,85
2017-10400,Woodie Beatens,2009-11-24,BA Sociology,Engineering & Construction,102
2017-10401,Jermain Sute,1992-02-27,BA Sociology,Commercial Banks,67
2017-10402,Ricoriki Barg,2002-02-03,BS Computer Engineering,Savings Institutions,88
2017-10403,Indira Loughhead,2010-03-22,BS Statistics,Clothing/Shoe/Accessory Stores,73
2017-10404,Wayland Munslow,2006-09-02,BS Computer Engineering,n/a,33
2017-10405,Enriqueta Castell,1992-11-20,BS Statistics,n/a,52
2017-10406,Meier Tomkowicz,1997-06-04,BS Computer Science,Medical/Dental Instruments,2
2017-10407,Yorgo Wilcox,1996-07-09,BS Mathematics,n/a,136
2017-10408,Torrey Eckart,2008-09-04,BS Chemistry,Telecommunications Equipment,36
2017-10409,Nathalia O'Doogan,1995-02-21,BS Statistics,n/a,17
2017-10410,Selina Grinyakin,2005-06-26,BS Applied Physics,Biotechnology: Commercial Physical & Biological Resarch,127
2017-10411,Tobit Breddy,2003-08-27,BS Industrial Engineering,n/a,19
2017-10412,Cherry Denyakin,2005-09-18,BS Mathematics,Major Pharmaceuticals,3
2017-10413,Eolanda Fassum,1999-12-10,BS Mathematics,Fluid Controls,157
2017-10414,Gilles Cersey,2007-05-19,BS Mathematics,n/a,25
2017-10415,Win Scotchbourouge,2009-08-24,BS Chemistry,Medical/Dental Instruments,22
2017-10416,Estevan Loch,2006-10-01,BS Industrial Engineering,n/a,109
2017-10417,Micheal Briar,1997-06-14,BS Applied Physics,Finance: Consumer Services,121
2017-10418,Vito Girardengo,2009-11-23,BS Chemical Engineering,n/a,138
2017-10419,Dulcine Habershon,2004-01-11,BA Communication Arts,Semiconductors,131
2017-10420,Maribeth Nowaczyk,2001-05-18,BA Sociology,Transportation Services,29
2017-10421,Nickie O'Sheils,2008-04-21,BA Communication Arts,EDP Services,48
2017-10422,Kerrie Niblock,2001-05-29,BS Statistics,EDP Services,151
2017-10423,Toinette Drinan,2008-08-19,BA Communication Arts,Industrial Machinery/Components,107
2017-10424,Fin Redferne,1999-12-17,BA Communication Arts,n/a,49
2017-10425,Loutitia Ordemann,2009-02-27,BS Mathematics,RETAIL: Building Materials,75
2017-10426,Sharia Dorrins,1999-02-24,BS Computer Science,Marine Transportation,79
2017-10427,Karina Batters,1994-02-15,BS Industrial Engineering,Natural Gas Distribution,113
2017-10428,Nedda Reid,2007-09-10,BA Communication Arts,Movies/Entertainment,51
2017-10429,Adolphe Sallarie,2007-07-13,BA Sociology,Investment Bankers/Brokers/Service,61
2017-10430,Nealy Sumshon,2004-05-02,BS Computer Science,Medical/Dental Instruments,20
2017-10431,Verile Chastney,1999-08-11,BS Computer Science,Restaurants,25
2017-10432,Brockie Droghan,2001-01-07,BS Chemistry,Savings Institutions,10
2017-10433,Glennis Van Brug,1993-04-19,BS Applied Physics,Major Pharmaceuticals,113
2017-10434,Roxanna Maunder,2000-04-22,BA Communication Arts,Finance: Consumer Services,78
2017-10435,Christie Crosgrove,1997-07-10,BS Computer Science,Marine Transportation,68
2017-10436,Neila Krug,2002-08-01,BS Mathematics,n/a,43
2017-10437,Maurie Shere,2003-01-24,BS Chemical Engineering,Major Banks,157
2017-10438,Elka Andreazzi,2002-11-05,BS Applied Physics,Electrical Products,144
2017-10439,Georg Kentish,1999-11-05,BS Chemistry,Catalog/Specialty Distribution,105
2017-10440,Hillier Carme,2000-02-01,BS Computer Engineering,Marine Transportation,150
2017-10441,Boothe Luckett,2007-09-02,BA Sociology,Oil & Gas Production,140
2017-10442,Brant Schwand,2005-02-14,BS Computer Science,Finance: Consumer Services,28
2017-10443,Kevan Erlam,2006-04-20,BS Chemistry,Hospital/Nursing Management,35
2017-10444,Vinnie Hurlin,1998-09-11,BS Statistics,Major Pharmaceuticals,136
2017-10445,Immanuel Swinford,2000-02-23,BA Communication Arts,Telecommunications Equipment,29
2017-10446,Adelaida Broomhead,2008-04-14,BS Applied Physics,Packaged Foods,88
2017-10447,Alleyn Foyster,1992-12-07,BA Communication Arts,n/a,64
2017-10448,Sean Ettles,2003-09-29,BS Applied Physics,Hotels/Resorts,131
2017-10449,Ari Wyrall,2008-03-28,BS Mathematics,n/a,73
2017-10450,Kelcie Ivankin,1999-06-22,BS Mathematics,Major Pharmaceuticals,108
2017-10451,Sybyl Petren,2008-03-30,BS Applied Physics,Business Services,49
2017-10452,Concettina Banbridge,2003-06-14,BS Chemical Engineering,n/a,120
2017-10453,Lev Castellani,2007-03-04,BA Sociology,Real Estate Investment Trusts,63
2017-10454,Zahara Rodrigo,2008-05-01,BA Sociology,Electric Utilities: Central,125
2017-10455,Mercy Iredale,2008-02-07,BS Mathematics,n/a,23
2017-10456,Cyndi Tregent,1995-01-26,BS Applied Physics,EDP Services,146
2017-10457,Killie Burrill,2005-02-01,BS Computer Engineering,n/a,138
2017-10458,Puff Yellowlee,1998-06-30,BS Mathematics,Metal Fabrications,148
2017-10459,Opal Wilkenson,1997-10-28,BS Chemistry,n/a,16
2017-10460,Reba Twell,2000-08-04,BS Chemistry,Major Chemicals,55
2017-10461,Nikaniki Eyer,2000-12-21,BS Chemistry,Apparel,139
2017-10462,Yancey Mulvey,2007-05-09,BS Chemistry,Major Banks,50
2017-10463,Ike O'Calleran,1999-11-21,BS Industrial Engineering,n/a,74
2017-10464,Ethe Downs,2009-05-16,BS Chemical Engineering,Business Services,57
2017-10465,Ogden Dowty,2007-09-09,BS Chemical Engineering,Other Consumer Services,114
2017-10466,Pierce Lanfranchi,1995-04-13,BS Mathematics,Building Products,29
2017-10467,Elliott Pibworth,2008-06-07,BS Chemistry,Radio And Television Broadcasting And Communications Equipment,99
2017-10468,Barth Glaisner,1997-07-06,BA Sociology,Package Goods/Cosmetics,45
2017-10469,Niels Lissenden,1994-11-28,BS Applied Physics,Investment Bankers/Brokers/Service,77
2017-10470,Hazlett Gibbins,1994-05-02,BS Chemical Engineering,Telecommunications Equipment,13
2017-10471,Oliy Narrie,2000-11-19,BS Statistics,Real Estate,19
2017-10472,Mozes Lissandre,2010-03-04,BS Chemistry,n/a,71
2017-10473,Odille Yoslowitz,2006-12-23,BA Sociology,n/a,112
2017-10474,Almira Stanman,1993-03-17,BS Chemical Engineering,n/a,47
2017-10475,Inness Margerrison,2004-10-11,BA Communication Arts,Telecommunications Equipment,98
2017-10476,Alley Batchellor,1996-09-18,BA Communication Arts,Commercial Banks,13
2017-10477,Cirilo Milsted,2000-09-20,BS Applied Physics,Medical/Nursing Services,149
2017-10478,Connie Mcsarry,1997-03-06,BS Statistics,Finance: Consumer Services,92
2017-10479,Tuesday Tompkinson,2006-08-01,BS Computer Engineering,Power Generation,46
2017-10480,Gordie Edwicke,1995-10-16,BS Computer Engineering,Electric Utilities: Central,92
2017-10481,Zondra Churchin,2002-12-10,BS Industrial Engineering,Major Pharmaceuticals,54
2017-10482,Marcile Lettuce,2008-11-07,BS Computer Engineering,"Computer Software: Programming, Data Processing",67
2017-10483,Rafi Mathivet,2001-09-27,BA Communication Arts,Medical/Dental Instruments,134
2017-10484,Janenna Pichan,1994-10-31,BA Sociology,n/a,11
2017-10485,Avictor Laugier,2000-07-05,BS Computer Science,Professional Services,117
2017-10486,Heindrick Vince,2007-02-09,BS Computer Science,n/a,119
2017-10487,Terrill Indruch,2004-08-21,BS Mathematics,Savings Institutions,116
2017-10488,Bree Aslam,1999-01-09,BS Chemistry,Real Estate Investment Trusts,155
2017-10489,Johnna Plaid,1997-09-15,BS Computer Science,n/a,92
2017-10490,Hamil Laxon,1999-06-28,BS Statistics,Oil Refining/Marketing,96
2017-10491,Hamilton Playhill,1999-02-18,BS Chemistry,Specialty Chemicals,79
2017-10492,Bucky Dugget,2003-12-19,BS Mathematics,Biotechnology: Biological Products (No Diagnostic Substances),50
2017-10493,Saloma Barkhouse,1997-05-31,BS Industrial Engineering,Major Banks,30
2017-10494,Barty Shakespear,2000-05-04,BA Sociology,Property-Casualty Insurers,119
2017-10495,Marius Pawlowicz,1999-12-03,BS Computer Science,Semiconductors,149
2017-10496,Rivy Lugden,2010-04-14,BS Chemistry,n/a,110
2017-10497,Madella Gile,1998-03-06,BS Computer Engineering,Beverages (Production/Distribution),4
2017-10498,Prissie Darracott,1995-07-20,BS Chemical Engineering,Business Services,87
2017-10499,Gene O'Lunny,2008-05-10,BS Computer Science,Natural Gas Distribution,63
2017-10500,Neile Traise,2003-04-12,BS Mathematics,Telecommunications Equipment,91
2017-10501,Carita Henzer,1998-07-15,BS Chemical Engineering,Power Generation,86
2017-10502,Maggie Filippyev,2005-10-31,BS Statistics,Major Pharmaceuticals,119
2017-10503,Leonore Insall,1992-08-17,BS Computer Engineering,Newspapers/Magazines,21
2017-10504,Borden Grindell,2004-08-10,BS Applied Physics,Real Estate Investment Trusts,153
2017-10505,Ezmeralda Verissimo,1995-11-27,BS Mathematics,Semiconductors,130
2017-10506,Marlee Chomiszewski,2009-07-21,BS Statistics,n/a,54
2017-10507,Lissie Freiberg,2006-01-08,BS Statistics,Specialty Chemicals,32
2017-10508,Galen Ferrer,1995-12-19,BS Industrial Engineering,Plastic Products,148
2017-10509,Bailey Huzzey,1994-11-15,BS Chemical Engineering,Real Estate Investment Trusts,95
2017-10510,Northrup Constable,2003-04-05,BS Chemical Engineering,n/a,21
2017-10511,Binny Dwelly,2009-07-22,BS Chemistry,Electric Utilities: Central,63
2017-10512,Briney Wych,2002-10-13,BA Sociology,n/a,128
2017-10513,Svend Glasser,1993-10-27,BS Chemical Engineering,n/a,75
2017-10514,Olga Medley,2010-02-01,BS Statistics,Major Banks,117
2017-10515,Huntley Humerstone,2007-11-07,BS Computer Engineering,Major Banks,112
2017-10516,Almeda Gentle,1998-04-09,BS Mathematics,Biotechnology: Commercial Physical & Biological Resarch,109
2017-10517,Eba Segar,2008-03-17,BS Chemistry,n/a,111
2017-10518,Don Leaman,1995-08-15,BS Chemistry,Major Pharmaceuticals,12
2017-10519,Kennett Ginie,1992-10-26,BS Industrial Engineering,n/a,89
2017-10520,Hazel Aikett,1998-03-27,BS Mathematics,Business Services,14
2017-10521,Carree Aglione,2007-08-29,BA Sociology,Major Banks,131
2017-10522,Aeriela Mewha,2003-07-16,BS Chemistry,Diversified Commercial Services,60
2017-10523,Pauletta Rojel,2000-09-13,BS Industrial Engineering,Business Services,100
2017-10524,Theodora Physic,1997-01-19,BS Chemistry,n/a,69
2017-10525,Kelley Jansky,2001-09-10,BS Mathematics,n/a,21
2017-10526,Bunnie Rushford,2003-02-18,BS Chemistry,Medical/Nursing Services,63
2017-10527,Carmencita Blackbourn,2006-07-28,BS Applied Physics,Investment Bankers/Brokers/Service,95
2017-10528,Aurelea Talman,2003-04-22,BS Mathematics,Metal Fabrications,136
2017-10529,Lind Vigrass,1994-09-23,BS Statistics,Real Estate Investment Trusts,93
2017-10530,Benni Puckett,2008-12-04,BA Communication Arts,Major Chemicals,36
2017-10531,Valeria Beacom,2003-07-28,BS Computer Engineering,n/a,24
2017-10532,Trista Clubbe,1992-08-07,BS Mathematics,n/a,65
2017-10533,Vanya Hammerman,1993-06-07,BA Sociology,Professional Services,27
2017-10534,Zorina Luigi,1997-07-07,BS Mathematics,Computer Communications Equipment,16
2017-10535,Bryce Corry,2007-11-29,BS Chemical Engineering,Industrial Specialties,154
2017-10536,Brendan Chellingworth,1994-05-27,BS Mathematics,Paper,59
2017-10537,Alex Branca,2005-03-16,BS Computer Science,Medical/Dental Instruments,143
2017-10538,Garrek Viscovi,2000-04-26,BA Communication Arts,n/a,86
2017-10539,Carolyn Pinckard,1992-10-14,BS Computer Engineering,Specialty Insurers,101
2017-10540,Phaedra Dracksford,1993-11-11,BS Mathematics,n/a,15
2017-10541,Inna Snoday,1994-11-30,BS Mathematics,Computer Software: Prepackaged Software,111
2017-10542,Olwen Gresswood,2010-06-26,BA Sociology,Oil Refining/Marketing,65
2017-10543,Miles Dabling,2003-09-16,BS Industrial Engineering,n/a,7
2017-10544,Sherman Varty,1993-11-04,BS Mathematics,Oil & Gas Production,4
2017-10545,Wyndham Josephsen,1992-04-26,BS Applied Physics,Telecommunications Equipment,83
2017-10546,Tamar Sapseed,1994-06-09,BS Applied Physics,Major Pharmaceuticals,49
2017-10547,Tobey Crenage,2007-10-23,BA Communication Arts,Pollution Control Equipment,13
2017-10548,Merwin Demougeot,2004-08-19,BS Computer Science,Major Banks,109
2017-10549,Dasya Di Gregorio,1997-02-20,BS Applied Physics,Auto Parts:O.E.M.,54
2017-10550,Rockey Lere,2003-01-12,BS Computer Science,Electric Utilities: Central,38
2017-10551,Benetta McMennum,2002-07-25,BS Computer Science,Major Pharmaceuticals,53
2017-10552,Sheffie Colloby,1994-08-04,BA Sociology,n/a,10
2017-10553,Bailie Levens,2007-08-18,BS Chemical Engineering,Hotels/Resorts,98
2017-10554,Marieann Gartell,2009-07-31,BS Industrial Engineering,Accident &Health Insurance,159
2017-10555,Virgilio Rothery,2005-10-23,BA Sociology,Real Estate Investment Trusts,121
2017-10556,Babs Sankey,1999-12-14,BS Chemistry,n/a,1
2017-10557,Esmaria Wigginton,1998-05-21,BS Mathematics,Engineering & Construction,31
2017-10558,Julianna Grenter,1998-09-07,BS Chemical Engineering,Broadcasting,21
2017-10559,Brigitte Tesyro,2002-03-23,BS Industrial Engineering,Business Services,91
2017-10560,Holt Grundon,1993-10-10,BA Communication Arts,Apparel,105
2017-10561,Bennett Birds,1998-05-12,BA Sociology,n/a,125
2017-10562,Yurik Mangenet,2008-03-18,BS Mathematics,Semiconductors,127
2017-10563,Wynne Hazle,1993-09-06,BA Communication Arts,Radio And Television Broadcasting And Communications Equipment,82
2017-10564,Alf Varker,1997-04-19,BS Mathematics,Marine Transportation,93
2017-10565,Rafaela Crippen,2006-01-25,BS Chemistry,Electronic Components,33
2017-10566,Claude Blonfield,2000-07-15,BS Chemical Engineering,Investment Bankers/Brokers/Service,30
2017-10567,Laurel Hobden,2009-06-03,BS Chemical Engineering,Computer peripheral equipment,97
2017-10568,Gertrude Mazzey,1996-02-09,BS Computer Science,Automotive Aftermarket,149
2017-10569,Marylee Percifer,1993-12-30,BS Computer Engineering,Clothing/Shoe/Accessory Stores,112
2017-10570,Korey Methley,2005-07-04,BS Statistics,Major Banks,1
2017-10571,Towny Carlet,1999-10-27,BS Chemical Engineering,n/a,107
2017-10572,Carline Hasnip,1993-11-11,BS Computer Engineering,n/a,109
